Organization Name,Contact Email,Profile URL,Outreach Message Body
"193 Coffeehouse",193degree.employees@gmail.com,https://urinvolved.uri.edu/organization/193coffeehouse,"
Subject: Proper Member Management & Campus-Wide Visibility for 193 Coffeehouse

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like 193 Coffeehouse.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how 193 Coffeehouse can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
"African Student Organization",aso@rhodysenate.org,https://urinvolved.uri.edu/organization/aso,"
Subject: Proper Member Management & Campus-Wide Visibility for African Student Organization

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like African Student Organization.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how African Student Organization can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
"Alima International Dance Association",alima@rhodysenate.org,https://urinvolved.uri.edu/organization/alima,"
Subject: Proper Member Management & Campus-Wide Visibility for Alima International Dance Association

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like Alima International Dance Association.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how Alima International Dance Association can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
"Alpha Kappa Alpha Sorority Inc. - Pi Theta Chapter",akapithetapresident@gmail.com,https://urinvolved.uri.edu/organization/akapitheta,"
Subject: Proper Member Management & Campus-Wide Visibility for Alpha Kappa Alpha Sorority Inc. - Pi Theta Chapter

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like Alpha Kappa Alpha Sorority Inc. - Pi Theta Chapter.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how Alpha Kappa Alpha Sorority Inc. - Pi Theta Chapter can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
"American Association of Textile Chemists and Colorists",rae.koch@uri.edu,https://urinvolved.uri.edu/organization/aatcc,"
Subject: Proper Member Management & Campus-Wide Visibility for American Association of Textile Chemists and Colorists

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like American Association of Textile Chemists and Colorists.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how American Association of Textile Chemists and Colorists can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
"American Heart Association Heart Club",allygoglia@uri.edu,https://urinvolved.uri.edu/organization/heartclub,"
Subject: Proper Member Management & Campus-Wide Visibility for American Heart Association Heart Club

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like American Heart Association Heart Club.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how American Heart Association Heart Club can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
"American Institute of Chemical Engineers",aiche.uri@gmail.com,https://urinvolved.uri.edu/organization/aiche,"
Subject: Proper Member Management & Campus-Wide Visibility for American Institute of Chemical Engineers

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like American Institute of Chemical Engineers.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how American Institute of Chemical Engineers can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
"American Marketing Association",amarody@gmail.com,https://urinvolved.uri.edu/organization/ama,"
Subject: Proper Member Management & Campus-Wide Visibility for American Marketing Association

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like American Marketing Association.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how American Marketing Association can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
"American Society of Landscape Architecture Student Chapter",ASLA@rhodysenate.org,https://urinvolved.uri.edu/organization/asla_student_chapter,"
Subject: Proper Member Management & Campus-Wide Visibility for American Society of Landscape Architecture Student Chapter

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like American Society of Landscape Architecture Student Chapter.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how American Society of Landscape Architecture Student Chapter can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
"American Society of Mechanical Engineers",rhody.asme@gmail.com,https://urinvolved.uri.edu/organization/asme,"
Subject: Proper Member Management & Campus-Wide Visibility for American Society of Mechanical Engineers

Hi there,

We're students here at URI and we've built **Bonded**, a campus-exclusive network designed specifically for student organizations like American Society of Mechanical Engineers.

We noticed that managing members and getting the word out about events across campus can be a challenge. With Bonded, you can:
- **Properly manage your members** in one dedicated space.
- **Sync your calendar and setup events** that are visible to the entire school in one centralized place.
- **Increase engagement** with students who are actually looking for organizations like yours.

We'd love to set up a quick meeting to show you how American Society of Mechanical Engineers can benefit from being on Bonded.

Best,
The Bonded Team (URI Students)
https://getbonded.app (Example Link)
"
